"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"ellipsoid.50d4c.2.dat",2.993,1.699,19.68,212337.4951,0.682666791813272,6.7991,0,82,0.24,0.5016,0.1843,0.1995,2.3217,0.1825,0.7646,1.1148,30.9085,8784.5481,189.4736,0.6294,6.4183236055865e-07,7.382233598831e-07,7.77683845279304e-08,1.09175640746604e-08,5.47229461748434e-07,4.72958830317459e-07,1.22689970634097e-06,1.59993806640387e-07,4.77066416232344e-07,2.27575340069256e-08
"ellipsoid.50d4c.3.dat",3.137,1.699,27.42,414041.2495,0.688301687439479,18.3348,0,72.1579,0.38,0.4953,0.1456,0.1953,2.6862,0.1818,0.7785,0.9829,52.1246,25613.2735,266.1721,0.5361,1.22072241760937e-06,1.45349353035939e-06,1.078077812066e-07,4.2053410719063e-09,5.85841263375195e-07,1.59112068801038e-07,8.08344401226271e-07,3.65704434434463e-07,1.74486401699297e-07,4.52603770586656e-08
"ellipsoid.50d4c.4.dat",3.0406,1.699,21.96,200446.5375,0.682551036381799,5.005,0,122,0.18,0.4718,0.1902,0.1802,2.278,0.1706,0.7813,1.5321,28.0289,15409.31,201.0822,0.5353,4.88568277573026e-07,2.05101166750203e-06,2.59523813129099e-08,8.78339444979246e-09,7.30353032593837e-07,1.01794922871452e-06,7.34445158726028e-07,7.09908999495699e-07,1.19201684819321e-06,2.83823803779427e-08
"ellipsoid.50d4c.5.dat",2.5453,1.699,7.02,93551.4301,0.678567410123469,1.9873,0.0054,39,0.18,0.4909,0.156,0.1764,1.6151,0.1787,0.7624,1.029,30.2156,1356.8506,68.1073,0.5239,8.73931202178352e-07,1.5797294987463e-06,9.37725525287571e-07,1.83154597069156e-08,5.34622584292972e-07,3.64933568045796e-07,5.29716620315556e-07,6.16853500007824e-07,6.08357385830998e-07,9.48383955468263e-07
"ellipsoid.50d4c.6.dat",3.1242,1.699,26.62,310854.8658,0.685209809844966,9.3762,0.0262,133.1,0.2,0.4096,0.1622,0.1429,1.4993,0.1837,0.7568,0.7547,44.467,28201.3577,269.3639,0.4994,1.74155566321791e-07,8.40891104987366e-07,2.29029315396981e-07,1.96806399193163e-09,8.56253039035054e-07,2.33465021020246e-07,4.0230928883102e-07,3.66131593129667e-07,5.71031641778332e-07,1.2237123618856e-08
"ellipsoid.50d4c.7.dat",3.0615,1.699,23.04,116346.9017,0.680695514194148,5.2724,7e-04,72,0.32,0.4648,0.1906,0.1855,2.5738,0.185,0.7403,1.4033,25.7744,33963.81,233.5693,0.5376,7.55785308454035e-07,1.63567350169109e-06,9.15456916131722e-08,4.86972205369042e-09,1.3588671434048e-06,4.26910537420489e-07,9.07548816602811e-07,4.83784273457137e-07,8.46918715023232e-08,2.64231826989228e-08
"ellipsoid.50d4c.8.dat",2.9773,1.699,18.98,160791.9759,0.68136974566178,6.388,0,59.3125,0.32,0.4362,0.1872,0.1868,1.6678,0.1854,0.7403,0.8373,29.3005,6668.3362,189.3601,0.4365,8.2660467317502e-07,1.26501170999673e-06,1.77977932034241e-07,6.04908308814931e-09,7.62551272609537e-07,1.7288154016154e-07,6.95014530472576e-07,3.06097134973988e-07,6.89831346088039e-07,7.81001785145861e-08
"ellipsoid.50d4c.9.dat",2.8344,1.699,13.66,475689.1484,0.685850747212587,14.7262,0.0018,97.5714,0.14,0.4318,0.1487,0.1863,2.9169,0.1981,0.6999,0.5856,66.4493,12374.1485,172.7309,0.4746,4.36226737359251e-07,7.91520304801533e-07,6.1569389023725e-07,4.7685369933136e-09,2.31416956292488e-07,1.64479402073284e-07,2.99658450461699e-07,9.96887753658291e-08,5.21010804040065e-07,8.93450333808475e-07
"a1.csv",3.4771,0.301,1500,135.258,0.676573465724895,54.1495,4e-04,1500,1,0.6918,0.1712,0.1699,4888.3302,0.1716,0.7992,20188.4792,345.1143,3082182047022.47,537.4919,0.4193,0.038064342303355,0.0403581906213745,0.040847234774801,0.000229236808001248,0.0389996490245017,0.0385234539632721,0.0383109402463951,0.0385739913828167,0.038747222548211,0.0384882069761055
"dim032.csv",3.0103,1.5051,32,51103.5366,0.677779068300207,5.0638,0.064,85.3333,0.375,0.2558,0.0636,0.0537,1113.7488,0.19,0.6783,768.4666,89.4404,2774513450.5725,221.5419,0.5783,0.000586913925363445,0.00019733723558012,0.000376267682909316,0,0,0,0,0,0.000113166939484704,0.000148789035317096
"dim064.csv",3.0103,1.8062,16,307893.5489,0.681748778537616,2.3051,0.0694,73.1429,0.2188,0.2223,0.0616,0.0078,1825.1005,0.1925,0.6899,1094.4007,109.8103,6734515135.6331,232.7122,0.4729,0.000223190857955496,0.000150182127056527,0.00079381884662153,0,0,0,0,0,9.38974276848505e-06,6.63775404890102e-06
"dim128.csv",3.0103,2.1072,8,2272106.5842,0.688023825639456,1.5135,0.0616,73.1429,0.1094,0.2123,0.0616,0,3069.7709,0.2004,0.6282,1580.0653,131.2373,18885593162.2979,251.4607,0.5425,0.000939386206806067,0.000393897541628269,0.000155173372882086,0,0,0,0,0,7.72064003544593e-05,0.000122284261940318
"dim256.csv",3.0103,2.4082,4,8699869.7952,0.688575317904153,1.0049,0.0616,73.1429,0.0547,0.2115,0.0616,0,3741.0598,0.2079,0.6035,2275.6966,147.0516,49931828903.2154,281.7547,0.4267,0.00149276942033594,0.000641722079502145,0.000774619257098638,0,0,0,0,0,0.000115474045503098,0.000400364449929185
"g2-16-10.csv",3.3113,1.2041,128,787.9436,0.676666034802898,1.007,0,2048,0.0625,0.9637,0.2494,0.2446,663.8351,0.2039,0.5315,151.2709,14.1722,404143542.3088,446.6033,0.458,0,0,0,0,0,0,0,0,0,0
