"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"g2-1024-20.csv",3.3113,3.0103,2,179225009.9862,0.676561165753334,1,0,5.7207,0.3496,0.8626,0.2543,0.2457,13437.4677,0.2077,0.4808,1847.607,2.9955,168103264923.115,474.7449,0.4336,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481,0.00220411164697481
"g2-1024-30.csv",3.3113,3.0103,2,179189580.475,0.676557371266532,1,0,3.7996,0.5264,0.736,0.2505,0.2443,17911.7863,0.2069,0.477,2753.8556,1.8086,370688441156.622,470.7869,0.5169,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954,0.00330716798236954
"g2-1024-40.csv",3.3113,3.0103,2,179207359.1753,0.676560158534424,1,0,3.256,0.6143,0.6106,0.2472,0.2434,25279.1121,0.2074,0.4807,4023.925,1.2429,668469872468.087,474.0091,0.5136,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733,0.00441047657688733
"g2-1024-50.csv",3.3113,3.0103,2,179217950.4005,0.676559992357817,1,0,3.0206,0.6621,0.5009,0.2448,0.2405,34463.864,0.2079,0.479,5753.5336,0.9243,1045627235721.74,473.0515,0.5363,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937,0.00551842144427937
"g2-1024-60.csv",3.3113,3.0103,2,179228551.1907,0.676563273075895,1,0,2.8886,0.6924,0.4109,0.2404,0.2418,52083.6754,0.2083,0.4834,8018.0599,0.7243,1517509402940.24,477.2742,0.5462,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704,0.00661710717387704
"g2-1024-70.csv",3.3113,3.0103,2,179224145.908,0.676561456743812,1,0,2.8093,0.7119,0.3378,0.2381,0.2394,49018.6985,0.2068,0.4781,10968.0918,0.5912,2014932979231.07,471.818,0.4643,0.007725918141532,0.007725918141532,0.007725918141532,0.007725918141532,0.007725918141532,0.007725918141532,0.007725918141532,0.00934960462983663,0.007725918141532,0.007725918141532
"g2-1024-80.csv",3.3113,3.0103,2,179191108.5229,0.676555458421398,1,0,2.7527,0.7266,0.2825,0.2355,0.236,69541.5628,0.2074,0.4793,14542.9672,0.4962,2643406567672.24,472.952,0.5069,0.00882209408302449,0.00881720463143059,0.00882209408302449,0.00882209408302449,0.00882209408302449,0.00882209408302449,0.00882209408302449,0.0103065099117541,0.00882209408302449,0.00882209408302449
"g2-1024-90.csv",3.3113,3.0103,2,179202851.6545,0.676558831298555,1,0,2.7234,0.7344,0.2371,0.2316,0.2336,78115.5412,0.2067,0.4769,19002.8507,0.4266,3349415933279.84,470.4089,0.45,0.00992582114117072,0.00992582114117072,0.0112780384668973,0.00992582114117072,0.00992582114117072,0.00992582114117072,0.00992582114117072,0.0112775125932522,0.00992582114117072,0.00992582114117072
"2d-10c.txt",3.4757,0.301,1495,221.7498,0.216616162010606,296.9967,0,1495,1,0.5231,0.1946,0.1813,60.0663,0.1889,0.8382,57.3103,1613.9392,9969027.6917,647.8369,0.4204,25.2378133392506,26.9715587120977,29.6874802243502,33.1701264996627,24.5689388751284,25.1148594389989,19.4469752768654,25.2343350797119,27.287122903912,25.6083659332028
"2d-20c.txt",3.181,0.301,758.5,109.2867,0.438572410399794,48.3451,0,758.5,1,0.6076,0.1919,0.1843,5.407,0.1696,0.7953,11.9418,359.4942,63265.7786,274.9094,0.4476,5.3626818502665,5.14186618071815,6.63913924639873,6.01348578065821,5.31936976210449,5.68882606708793,5.36994448008944,5.27468210648735,5.51844469586126,5.38314352357055
